pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference,__ml_lable,__ml_total_invitations,__ml_total_attendance,__ml_last_invitation_attendance,__ml_invitation_acceptance_rate,__ml_total_donations,__ml_largest_gift,__ml_last_gift_amount
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Zainab,,García,,433807,0,168059,Appeal1,1662744823,1631219749,122575,1735873621,Appeal1,787 Sprucewood Drive,,Parksville,Home,,Do Not Email,No Surveys,Opt-in,Opt-out,Survey,1,11,8,1,0.7272727272727273,49539,10639,2095
Parvati Patel,Bob Brown,Priya Gupta,no,no,Sergei,,Gupta,,109157,0,30784,Appeal2,1660517128,700779355,10178,1715972353,Appeal1,909 Aspenwood Way,,Abbotsford,Home,Do Not Call,,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,8,3,1,0.375,82710,25813,9098
Peter Smith,John Doe,Sven Müller,no,no,Chao,,García,Hilarity Holdings,954400,248008,851490,Appeal3,1589205581,4993897,41627,1711377679,Appeal1,888 Sequoia Circle,Apt 787,Nanaimo,Work,No Surveys,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Event,0,13,12,1,0.9230769230769231,11541,1352,363
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Ahmed,,Smirnov,,577155,345097,340348,Appeal2,1618717857,564997665,312512,1712513957,Appeal2,789 Pine Lane,Unit 999,White Rock,Mobile,,,No Surveys,Opt-out,Opt-in,,1,9,4,1,0.4444444444444444,6237,4495,2961
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Fatima,,Gupta,,72525,851183,59879,Appeal2,1602786808,236035615,49596,1714661845,Appeal2,666 Juniper Road,,Maple Ridge,Home,No Surveys,,No Mass Communications,Opt-out,Opt-out,Newsletter,1,10,7,1,0.7,46296,21016,9962
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Mei,Cutie,González,,652512,649205,316700,Appeal3,1604486968,1539222770,94739,1729672429,Appeal1,1010 Redwoodwood Circle,Apt 909,Maple Ridge,Mobile,No Mass Appeals,No Mass Communications,,Opt-out,Opt-out,Inspiration event,1,7,4,1,0.5714285714285714,99158,51398,43192
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Maria,,Williams,,311018,100884,64978,Appeal3,1725548946,853658491,151787,1728662978,Appeal3,1010 Redwoodwood Circle,,Abbotsford,Mobile,,No Mass Communications,No Surveys,Opt-in,Opt-in,Survey,1,12,12,1,1.0,47626,26341,4033
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Ahmed,,佐藤,,0,310719,0,Appeal2,0,0,0,1737752849,Appeal2,456 Oak Avenue,Apt 666,Parksville,Home,No Mass Appeals,,,Opt-in,Opt-out,Thank you,1,4,2,1,0.5,50896,49127,48375
Parvati Patel,Alice Smith,Priya Gupta,no,no,John,Doll,Smirnov,,0,539297,0,Appeal3,0,0,0,1721558000,Appeal2,1313 Poplarwood Street,Apt 343,West Vancouver,Mobile,,No Surveys,No Mass Appeals,Opt-in,Opt-out,,1,15,15,0,1.0,50184,25049,7886
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Yuki,Buttercup,Kumar,Chuckles & Co.,0,70580,0,Appeal2,0,0,0,1735652851,Appeal3,1919 Laurelwood Road,Apt 505,Surrey,Home,No Mass Appeals,No Mass Communications,Do Not Email,Opt-out,Opt-out,Appeal,1,5,2,1,0.4,88360,38514,16881
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Fatima,,Kumar,,616579,0,560687,Appeal2,1698054401,758162447,235637,1736463483,Appeal2,909 Aspenwood Way,,Burnaby,Mobile,,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Holiday Card,0,8,6,0,0.75,18185,3018,1928
Peter Smith,John Doe,Sven Müller,no,no,Amina,,佐藤,,146622,869328,70080,Appeal1,1723517225,342229202,8787,1731814951,Appeal3,101 Birch Boulevard,,Victoria,Work,,No Mass Communications,No Surveys,Opt-out,Opt-out,Event,1,15,15,1,1.0,87105,23602,19585
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Ahmed,Sweetheart,Müller,Acme Anvils Inc.,0,847340,0,Appeal2,0,0,0,1729623735,Appeal3,909 Fir Street,Apt 707,Williams Lake,Work,No Mass Appeals,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Holiday Card,1,7,5,1,0.7142857142857143,57973,11255,10823
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Ahmed,,González,Jester Jamboree,318104,400055,51219,Appeal3,1582861654,293802468,1840,1720345824,Appeal3,888 Sequoia Circle,Apt 666,Coquitlam,Home,Do Not Call,No Mass Appeals,,Opt-out,Opt-in,Survey,1,14,14,1,1.0,31060,25572,24559
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Yuki,,Cohen,,0,560366,0,Appeal1,0,0,0,1733675214,Appeal1,555 Hickory Drive,Apt 121,Abbotsford,Home,No Mass Communications,Do Not Email,Do Not Email,Opt-out,Opt-in,Thank you,0,4,1,1,0.25,5311,3976,1273
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Yuki,Doll,Smith,,93145,186873,16856,Appeal2,1664534317,174602520,1111,1721370750,Appeal1,676 Elmwood Court,Unit 606,Port Coquitlam,Home,,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Event,0,9,8,1,0.8888888888888888,49334,3026,1224
Peter Smith,Jane Doe,Chao Nguyen,no,no,Leila,,Ahmed,,123625,829702,53159,Appeal3,1704654599,210493583,40864,1729736974,Appeal2,222 Sycamore Lane,Apt 888,Courtenay,Mobile,No Mass Appeals,,No Mass Communications,Opt-out,Opt-in,Holiday Card,0,8,5,1,0.625,10312,3497,2979
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hassan,,佐藤,,94456,230225,58557,Appeal2,1682534871,1583650259,24754,1732743731,Appeal3,101 Birch Boulevard,,Port Coquitlam,Home,No Mass Communications,,No Surveys,Opt-in,Opt-out,Holiday Card,0,2,0,0,0.0,11404,7077,412
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Amina,,Kumar,Goofy Gadgets,0,356955,0,Appeal2,0,0,0,1711609319,Appeal3,444 Dogwood Court,,White Rock,Work,,,No Mass Communications,Opt-in,Opt-in,Newsletter,1,6,4,1,0.6666666666666666,29812,28089,22310
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Fatima,,Müller,,965736,499660,3627,Appeal1,1587453179,176553590,318119,1721539511,Appeal3,1818 Juniperwood Drive,,Abbotsford,Mobile,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-out,Thank you,1,12,11,1,0.9166666666666666,67319,64840,26604
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Rajesh,,Lee,,569679,843691,147879,Appeal2,1664955594,799406607,112516,1713037418,Appeal2,707 Redwood Terrace,Unit 898,Port Coquitlam,Home,No Mass Communications,Do Not Email,No Surveys,Opt-out,Opt-out,Survey,1,11,11,0,1.0,43344,20084,3752
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Alice,,Lee,,381367,355790,61168,Appeal2,1717609410,1180445294,276727,1714682202,Appeal1,666 Juniper Road,Apt 505,Prince George,Home,,,No Mass Communications,Opt-in,Opt-in,Survey,0,13,12,1,0.9230769230769231,10751,6771,6266
Parvati Patel,Alice Smith,Priya Gupta,no,no,Dimitri,,Öztürk,Wacky Widgets,902868,623173,114532,Appeal3,1710160044,1234782046,443509,1717094640,Appeal3,1111 Cypresswood Terrace,Apt 343,Delta,Mobile,,No Surveys,No Mass Communications,Opt-out,Opt-out,Inspiration event,1,12,11,1,0.9166666666666666,61018,40724,18077
Gurtrude Schmidt,John Doe,Sven Müller,no,no,John,,Smith,,0,0,0,Appeal1,0,0,0,1738660620,Appeal2,787 Sprucewood Drive,Unit 333,Nanaimo,Home,,Do Not Email,,Opt-out,Opt-in,Event,1,9,7,1,0.7777777777777778,46591,45211,2637
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Ahmed,,López,,0,0,0,Appeal3,0,0,0,1725920539,Appeal1,1111 Cypresswood Terrace,Apt 303,Williams Lake,Home,No Mass Appeals,,No Surveys,Opt-out,Opt-out,,1,8,3,0,0.375,92725,86973,32366
Peter Smith,John Doe,Chao Nguyen,yes,no,Hiroshi,,Müller,,0,95522,0,Appeal3,0,0,0,1711325003,Appeal2,1111 Cypresswood Terrace,Unit 454,Courtenay,Mobile,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,Appeal,0,15,15,0,1.0,39377,2232,1204
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Mei,,王,,0,583271,0,Appeal1,0,0,0,1718764502,Appeal2,444 Dogwood Court,Apt 222,Abbotsford,Mobile,,No Mass Communications,,Opt-in,Opt-in,Research update,1,6,1,0,0.16666666666666666,70720,63684,44928
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Yuki,,Jones,,757482,982782,453245,Appeal2,1692496191,704296583,175215,1726815428,Appeal2,888 Sequoia Circle,Apt 303,Richmond,Mobile,No Surveys,No Mass Communications,,Opt-out,Opt-in,Holiday Card,1,10,8,0,0.8,56480,4184,2964
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Juan,,Silva,Gag Gifts Galore,233191,891432,148763,Appeal3,1659262092,208260476,9242,1723203916,Appeal3,303 Elm Drive,,New Westminster,Work,No Mass Appeals,No Surveys,No Mass Appeals,Opt-out,Opt-in,Event,0,3,1,1,0.3333333333333333,2223,1989,75
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Priya,,Silva,Mirthful Manufacturing,0,660404,0,Appeal1,0,0,0,1730097556,Appeal2,111 Poplar Avenue,,Coquitlam,Home,Do Not Call,Do Not Email,Do Not Email,Opt-in,Opt-in,Survey,0,0,0,0,0.0,40654,30429,9943
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Hassan,,Jones,,0,878815,0,Appeal1,0,0,0,1710799345,Appeal1,909 Fir Street,Unit 111,Courtenay,Work,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Inspiration event,1,16,16,1,1.0,1172,933,103
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Sven,Buttercup,김,,0,790539,0,Appeal1,0,0,0,1721612547,Appeal3,1313 Poplarwood Street,,Saanich,Mobile,Do Not Call,,No Mass Appeals,Opt-out,Opt-out,Event,1,8,5,0,0.625,34235,13352,3421
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sergei,,Kim,Laughing Labs,0,838099,0,Appeal3,0,0,0,1713252280,Appeal3,444 Dogwood Court,,White Rock,Work,Do Not Call,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Survey,1,7,5,1,0.7142857142857143,68506,21469,231
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sergei,Darling,Hernández,Whatchamacallit Corp.,0,857947,0,Appeal3,0,0,0,1732446297,Appeal3,999 Alder Terrace,Unit 555,Kelowna,Mobile,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-out,Event,1,8,7,1,0.875,14004,8909,6234
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Rajesh,Babe,Öztürk,,0,0,0,Appeal1,0,0,0,1716151888,Appeal3,909 Aspenwood Way,Apt 888,West Vancouver,Mobile,,No Mass Communications,,Opt-in,Opt-out,Event,1,16,16,1,1.0,80091,64916,27149
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Leila,,王,,787977,553608,10125,Appeal2,1632234399,1672727907,32294,1733099955,Appeal3,606 Aspen Circle,Apt 909,West Vancouver,Work,No Mass Communications,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Appeal,1,0,0,0,0.0,84041,46628,33918
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Ahmed,,Ivanov,,763851,962542,249827,Appeal3,1642392089,625723118,407496,1724097860,Appeal1,333 Magnolia Boulevard,Apt 909,Victoria,Mobile,No Mass Communications,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Event,1,0,0,0,0.0,44002,10203,9161
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Bob,,Nakamura,,207318,0,189917,Appeal1,1588463529,1005739462,101714,1738320132,Appeal1,909 Aspenwood Way,,White Rock,Work,No Surveys,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Magazine,1,12,12,0,1.0,36800,27954,9126
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Leila,,Иванов,,105701,188590,4476,Appeal1,1587314703,1121601173,15006,1727557623,Appeal3,999 Alder Terrace,,North Vancouver,Mobile,,No Mass Appeals,No Surveys,Opt-out,Opt-out,Appeal,1,4,2,1,0.5,15822,6872,963
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Mei,Peach,王,Snicker Supplies,498074,927614,408536,Appeal3,1639928914,160182161,47355,1720466243,Appeal3,505 Willow Way,Apt 505,West Vancouver,Home,No Surveys,,No Mass Communications,Opt-in,Opt-out,,1,15,15,0,1.0,65390,11188,10361
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Hassan,,Singh,,409042,677790,279194,Appeal3,1630558083,62316220,8167,1728846853,Appeal3,707 Redwood Terrace,Apt 343,Courtenay,Home,No Surveys,No Surveys,No Mass Communications,Opt-in,Opt-in,Inspiration event,1,6,5,0,0.8333333333333334,97787,87845,65726
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Yuki,Champ,Kim,Frobozz Magic Co.,0,0,0,Appeal2,0,0,0,1713557418,Appeal3,565 Cedarwood Boulevard,Apt 303,Delta,Work,,,No Mass Appeals,Opt-out,Opt-in,Event,1,0,0,0,0.0,64345,26839,3253
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Fatima,,Lee,,749901,969718,606292,Appeal2,1700620642,185407823,252422,1737235801,Appeal3,999 Alder Terrace,,Delta,Work,No Mass Communications,,No Mass Communications,Opt-out,Opt-in,Appeal,1,14,14,0,1.0,62019,53408,40081
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Sergei,Sweetheart,Singh,,802400,995831,746956,Appeal3,1708134240,1174343355,402720,1725727837,Appeal2,1010 Redwoodwood Circle,Unit 404,Williams Lake,Work,No Mass Communications,No Mass Communications,No Mass Communications,Opt-out,Opt-in,Research update,1,11,9,1,0.8181818181818182,90319,77224,16248
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Bob,Doll,Nguyen,,683312,684889,531242,Appeal3,1705242943,788081368,274581,1723301544,Appeal2,1818 Juniperwood Drive,Unit 777,Port Coquitlam,Mobile,No Mass Appeals,,No Mass Appeals,Opt-out,Opt-out,Event,1,14,14,1,1.0,18656,14595,14531
Parvati Patel,Bob Brown,Priya Gupta,no,no,Sven,,Lee,,371079,588447,91389,Appeal3,1680640706,475965835,256500,1722733658,Appeal2,505 Willow Way,,Delta,Mobile,,No Mass Appeals,Do Not Email,Opt-out,Opt-in,Thank you,1,13,13,1,1.0,71132,69226,40582
Parvati Patel,Bob Brown,Priya Gupta,no,no,Olga,Sweetie,Jones,,0,0,0,Appeal3,0,0,0,1709955724,Appeal1,707 Redwood Terrace,Apt 666,Delta,Work,Do Not Call,No Mass Appeals,No Mass Appeals,Opt-in,Opt-out,Thank you,0,0,0,0,0.0,16797,9479,1902
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Bob,,Lee,,0,591235,0,Appeal3,0,0,0,1719620641,Appeal3,1010 Redwoodwood Circle,,Victoria,Work,No Mass Communications,No Surveys,Do Not Email,Opt-out,Opt-out,Research update,0,0,0,0,0.0,54768,5525,1035
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Hassan,Dear,Williams,Frobozz Magic Co.,0,427187,0,Appeal1,0,0,0,1735541691,Appeal1,1111 Cypresswood Terrace,Unit 111,Kamloops,Mobile,No Surveys,No Mass Communications,No Surveys,Opt-in,Opt-out,Holiday Card,1,2,1,1,0.5,83472,81732,52890
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Zainab,Angel,Müller,,0,380054,0,Appeal3,0,0,0,1710009583,Appeal1,777 Laurel Way,Apt 121,Abbotsford,Home,Do Not Call,Do Not Email,No Surveys,Opt-in,Opt-out,Newsletter,1,5,1,1,0.2,90760,30038,8992
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Yuki,,Kim,,499631,221110,78374,Appeal1,1695961058,1413592635,45321,1723758536,Appeal1,1515 Magnoliawood Lane,Apt 303,Maple Ridge,Home,No Mass Appeals,No Mass Communications,No Mass Communications,Opt-in,Opt-out,Newsletter,0,5,5,1,1.0,9697,381,327
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Hiroshi,,Singh,,462604,975903,14195,Appeal1,1675526760,540042243,136483,1720015319,Appeal2,707 Redwood Terrace,Apt 222,Richmond,Mobile,Do Not Call,,No Mass Appeals,Opt-out,Opt-out,Survey,1,11,10,1,0.9090909090909091,22628,14168,13092
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Sergei,,García,,82324,727350,26690,Appeal3,1639475593,665404500,24850,1732319795,Appeal1,232 Oakwood Street,Apt 343,Campbell River,Home,No Surveys,No Mass Communications,,Opt-in,Opt-in,Appeal,0,7,4,0,0.5714285714285714,15021,11321,5729
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Maria,Dear,Öztürk,,0,201092,0,Appeal2,0,0,0,1737995099,Appeal1,333 Magnolia Boulevard,,Burnaby,Home,Do Not Call,Do Not Email,No Mass Communications,Opt-in,Opt-out,Event,1,3,1,0,0.3333333333333333,96577,86404,78933
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Juan,,Singh,,0,915652,0,Appeal3,0,0,0,1734182136,Appeal1,505 Willow Way,,Kelowna,Work,No Mass Communications,,No Mass Communications,Opt-in,Opt-in,Research update,0,5,1,1,0.2,1871,1739,236
Gurtrude Schmidt,Jane Doe,Sven Müller,yes,no,Olga,Beloved,Nguyen,,459749,992651,162357,Appeal2,1720178779,1677004161,62280,1736972632,Appeal2,404 Spruce Road,,Victoria,Work,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Appeal,1,15,15,1,1.0,66531,43941,1633
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Alice,,Chen,,0,229461,0,Appeal2,0,0,0,1719950931,Appeal2,1111 Cypresswood Terrace,Apt 444,Delta,Home,,,Do Not Email,Opt-in,Opt-out,,1,8,8,1,1.0,67594,38683,36484
Peter Smith,Jane Doe,Sven Müller,yes,no,Alice,Darling,Brown,Widgets R Us,0,43535,0,Appeal1,0,0,0,1724122237,Appeal1,232 Oakwood Street,Apt 888,Parksville,Mobile,,No Surveys,Do Not Email,Opt-out,Opt-out,Inspiration event,0,9,8,1,0.8888888888888888,11526,241,102
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Ahmed,,Kumar,,934303,181736,626715,Appeal3,1685514672,355918869,19056,1721549247,Appeal2,789 Pine Lane,,Port Coquitlam,Work,No Mass Appeals,Do Not Email,,Opt-in,Opt-in,Thank you,1,14,14,1,1.0,76301,20801,10721
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Fatima,Precious,Hernández,Frobozz Magic Co.,0,42816,0,Appeal1,0,0,0,1708891270,Appeal2,666 Juniper Road,,Richmond,Home,No Mass Appeals,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Newsletter,1,11,11,1,1.0,74017,49720,15017
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,John,,Jones,,873968,477796,853620,Appeal1,1596984849,189958242,279266,1727346074,Appeal1,898 Willowwood Road,Unit 777,Nanaimo,Work,Do Not Call,,Do Not Email,Opt-in,Opt-in,Appeal,1,7,5,1,0.7142857142857143,24330,22855,22737
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Fatima,,Hernández,,601715,618925,90152,Appeal2,1731285379,998516891,404325,1709010930,Appeal1,888 Sequoia Circle,,Maple Ridge,Mobile,No Surveys,,No Mass Communications,Opt-out,Opt-out,Inspiration event,1,4,3,0,0.75,59830,32874,30957
Peter Smith,John Doe,Sven Müller,yes,no,Fatima,Honey,佐藤,,744806,823488,483942,Appeal1,1715168886,509298987,123649,1739328243,Appeal1,222 Sycamore Lane,,Parksville,Work,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Event,1,1,1,1,1.0,88999,43167,18315
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Juan,,García,Widgets R Us,615500,709435,506556,Appeal1,1622155910,1186053594,143301,1710576643,Appeal2,565 Cedarwood Boulevard,Apt 666,Saanich,Work,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-in,Inspiration event,0,16,16,0,1.0,85043,45363,6449
Gurtrude Schmidt,John Doe,Sven Müller,yes,no,Sven,,Nakamura,,400807,694652,20984,Appeal1,1619831241,97165022,4954,1730040990,Appeal1,1111 Cypresswood Terrace,,Parksville,Home,,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Event,1,6,6,1,1.0,86740,16491,9704
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Rajesh,,Chen,,0,718777,0,Appeal1,0,0,0,1719996989,Appeal2,808 Cypress Place,,Vernon,Work,No Surveys,No Surveys,No Mass Appeals,Opt-in,Opt-out,Appeal,1,4,1,1,0.25,63070,36429,31071
Peter Smith,John Doe,Chao Nguyen,yes,no,Peter,,Smirnov,,0,0,0,Appeal2,0,0,0,1722599744,Appeal3,101 Birch Boulevard,,Parksville,Mobile,No Mass Communications,No Surveys,,Opt-in,Opt-in,Newsletter,1,1,1,1,1.0,62338,24706,7518
Parvati Patel,Alice Smith,Priya Gupta,no,no,Olga,,Williams,Gag Gifts Galore,821376,0,344001,Appeal2,1629417648,1073680509,220087,1720897890,Appeal2,101 Birch Boulevard,Apt 909,West Vancouver,Home,No Surveys,No Surveys,No Mass Communications,Opt-in,Opt-in,Newsletter,1,3,2,0,0.6666666666666666,34744,14664,11495
Peter Smith,Jane Doe,Sven Müller,no,no,Yuki,,Cohen,,0,0,0,Appeal3,0,0,0,1737565840,Appeal2,606 Aspen Circle,Apt 888,Saanich,Home,No Mass Communications,,No Surveys,Opt-out,Opt-in,Survey,1,2,1,1,0.5,73801,61204,7161
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,John,,García,,0,15610,0,Appeal2,0,0,0,1709777416,Appeal3,1212 Firwood Place,Unit 232,Kamloops,Home,No Mass Appeals,No Surveys,No Mass Communications,Opt-out,Opt-out,Survey,1,4,4,1,1.0,95016,53242,22918
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,John,,Öztürk,,0,470068,0,Appeal1,0,0,0,1738072040,Appeal2,1111 Cypresswood Terrace,,Burnaby,Home,No Mass Communications,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Thank you,1,5,0,0,0.0,11883,9999,4897
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Jane,,Silva,Wacky Widgets,0,83081,0,Appeal2,0,0,0,1712671342,Appeal2,1515 Magnoliawood Lane,Unit 232,New Westminster,Work,,No Surveys,No Mass Appeals,Opt-out,Opt-in,Survey,0,11,8,1,0.7272727272727273,67679,61292,1287
Peter Smith,Jane Doe,Sven Müller,no,no,Maria,,김,,394131,794297,198054,Appeal3,1730358724,1380455242,115347,1713799668,Appeal3,111 Poplar Avenue,Apt 787,Courtenay,Work,,Do Not Email,,Opt-in,Opt-out,Survey,0,14,14,1,1.0,45560,12963,4416
Peter Smith,Jane Doe,Sven Müller,no,no,Alice,,Kumar,,857302,121806,70315,Appeal1,1686640320,205227864,9974,1712987245,Appeal2,343 Pinewood Avenue,Unit 555,Campbell River,Work,,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Magazine,1,5,1,1,0.2,94127,23909,13749
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Peter,,García,Quirky Quacks,0,950375,0,Appeal2,0,0,0,1720058741,Appeal1,454 Birchwood Lane,Unit 111,Williams Lake,Home,No Mass Communications,No Mass Appeals,No Surveys,Opt-in,Opt-in,Holiday Card,1,3,1,1,0.3333333333333333,82934,9191,8083
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Amina,,López,,0,0,0,Appeal3,0,0,0,1738821724,Appeal2,1111 Cypresswood Terrace,Apt 888,Courtenay,Home,No Mass Communications,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,13,12,1,0.9230769230769231,67505,20129,13355
Peter Smith,Jane Doe,Sven Müller,no,no,Jane,,Иванов,,0,180702,0,Appeal1,0,0,0,1715399203,Appeal2,787 Sprucewood Drive,Apt 909,Courtenay,Mobile,No Mass Appeals,Do Not Email,No Mass Communications,Opt-in,Opt-in,Appeal,1,16,16,0,1.0,3055,2804,1744
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Bob,Snookums,Lee,,375248,872067,350243,Appeal2,1604840921,727515111,4710,1738823850,Appeal2,505 Willow Way,Apt 444,Langley,Mobile,Do Not Call,No Surveys,Do Not Email,Opt-in,Opt-in,Survey,0,15,15,0,1.0,25252,7414,7238
Peter Smith,Jane Doe,Chao Nguyen,no,no,Dimitri,,Williams,,0,833115,0,Appeal1,0,0,0,1714639008,Appeal1,666 Juniper Road,Unit 676,Campbell River,Mobile,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-out,Newsletter,0,5,2,0,0.4,9432,5440,1603
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Peter,,Jones,,0,899370,0,Appeal1,0,0,0,1738882613,Appeal2,101 Birch Boulevard,Unit 606,Burnaby,Home,No Surveys,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Thank you,0,6,4,0,0.6666666666666666,12321,1229,382
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Priya,,Williams,,447598,998204,169478,Appeal1,1722705672,914617861,200636,1739771234,Appeal3,111 Poplar Avenue,Unit 333,Kamloops,Mobile,No Mass Appeals,,No Surveys,Opt-in,Opt-in,Survey,0,10,8,1,0.8,5113,4578,1145
Parvati Patel,Alice Smith,Priya Gupta,no,no,Carlos,,Nguyen,,0,142409,0,Appeal2,0,0,0,1733420304,Appeal3,1212 Firwood Place,Unit 606,New Westminster,Mobile,No Mass Communications,No Mass Communications,,Opt-out,Opt-out,Research update,0,6,5,0,0.8333333333333334,30052,6993,6310
Peter Smith,Jane Doe,Sven Müller,no,no,Hiroshi,Sweetie,Smith,,0,0,0,Appeal2,0,0,0,1714763629,Appeal2,111 Poplar Avenue,Apt 121,Campbell River,Mobile,No Surveys,No Surveys,No Surveys,Opt-out,Opt-out,Holiday Card,0,2,0,0,0.0,76992,43060,7710
Peter Smith,John Doe,Chao Nguyen,no,no,Mei,Sweetie,Öztürk,,329723,485756,256390,Appeal1,1640774522,1021117463,31881,1717481796,Appeal3,555 Hickory Drive,Unit 606,Saanich,Work,No Surveys,No Surveys,No Mass Appeals,Opt-out,Opt-out,Research update,1,2,0,0,0.0,86436,21307,3378
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Juan,Angel,Kumar,,408805,5245,37139,Appeal1,1643962705,753276749,125239,1726329138,Appeal2,565 Cedarwood Boulevard,Apt 565,Burnaby,Work,No Mass Appeals,,,Opt-in,Opt-in,Thank you,1,6,3,1,0.5,70386,69592,31046
